"State","Margin of Victory / Electoral Votes"
"Florida",2562
"North Carolina",6133
"Ohio",9237
"New Hampshire",9910
"Nevada",11301
"Virginia",11484
"Alaska",14012
"Colorado",15317
"Iowa",15321
"Pennsylvania",15492
"New Mexico",15909
"Arizona",18947
"Georgia",19053
"North Dakota",21118
"Wisconsin",21301
"South Dakota",21857
"Montana",22029
"Minnesota",22594
"South Carolina",22856
"Indiana",24332
"Mississippi",24632
"Delaware",25700
"Missouri",25864
"Maine",27257
"Michigan",28082
"Rhode Island",30618
"Oregon",30901
"Texas",33203
"Wyoming",33892
"Nebraska",34596
"Vermont",35513
"West Virginia",35877
"Connecticut",38601
"Washington",38727
"Kansas",41650
"Arkansas",42222
"Louisiana",42890
"Illinois",44214
"Tennessee",45601
"New Jersey",46275
"Hawaii",46410
"Kentucky",50977
"Alabama",51136
"Idaho",52031
"California",54805
"Oklahoma",63968
"Massachusetts",66663
"New York",68806
"Maryland",70597
"Utah",81464
"D. C.",81896