"State","Electoral Votes","Voting Power"
"D. C.",3,81896
"Utah",6,81464
"Maryland",10,70597
"New York",29,68806
"Massachusetts",11,66663
"Oklahoma",7,63968
"California",55,54805
"Idaho",4,52031
"Alabama",9,51136
"Kentucky",8,50977
"Hawaii",4,46410
"New Jersey",14,46275
"Tennessee",11,45601
"Illinois",20,44214
"Louisiana",8,42890
"Arkansas",6,42222
"Kansas",6,41650
"Washington",12,38727
"Connecticut",7,38601
"West Virginia",5,35877
"Vermont",3,35513
"Nebraska",5,34596
"Wyoming",3,33892
"Texas",38,33203
"Oregon",7,30901
"Rhode Island",4,30618